order_id,customer_id,customer_name,customer_email,product_id,product_name,category,brand,price,quantity,total_amount,discount_percent,order_date,shipping_address,city,state,country,payment_method,order_status,customer_age
ORD-1543,CUST-0225,Ashley Lewis,ashley.lewis@email.com,PROD-5566,Business Strategy,Books,O'Reilly,19.87,2,39.74,20.0,2023-11-11,8944 Second Ave,New York,NY,Germany,PayPal,Completed,70
ORD-1260,CUST-0293,Angela Lee,angela.lee@email.com,PROD-5706,Dell Laptop,Electronics,HP,882.75,3,2648.25,20.0,2025-02-19,8232 Second Ave,Jacksonville,FL,Canada,Debit Card,Cancelled,74
ORD-1044,CUST-0299,David Davis,david.davis@email.com,PROD-8623,Web Development,Books,McGraw-Hill,73.08,5,365.4,15.0,2024-05-10,7584 Park Rd,San Jose,CA,Australia,PayPal,Cancelled,24
ORD-2011,CUST-0177,Paul Thompson,paul.thompson@email.com,PROD-3154,Dumbbell Set,Sports,Nike,49.62,5,248.1,10.0,2024-11-22,8955 First St,Chicago,IL,Canada,Bank Transfer,Processing,74
ORD-1755,CUST-0011,James Harris,james.harris@email.com,PROD-8882,Tennis Racket,Sports,Under Armour,74.16,1,74.16,25.0,2024-07-31,6685 Elm St,Dallas,TX,UK,Apple Pay,Processing,24
ORD-1311,CUST-0022,Paul Clark,paul.clark@email.com,PROD-8594,Dumbbell Set,Sports,Spalding,82.87,1,82.87,10.0,2025-03-08,4813 First St,San Francisco,CA,USA,PayPal,Cancelled,59
ORD-1756,CUST-0101,Andrew Davis,andrew.davis@email.com,PROD-4952,Board Game,Toys,Mattel,57.92,4,231.68,20.0,2023-06-08,2344 Oak Ave,Chicago,IL,USA,Debit Card,Completed,44
ORD-1468,CUST-0172,John Davis,john.davis@email.com,PROD-1180,Running Shoes,Sports,Nike,231.83,3,695.49,5.0,2025-03-06,9440 Second Ave,Los Angeles,CA,Canada,Credit Card,Processing,48
ORD-1211,CUST-0047,Paul Jones,paul.jones@email.com,PROD-4634,Tennis Racket,Sports,,123.83,5,619.15,,2024-06-19,4793 Elm St,Fort Worth,TX,Germany,Apple Pay,Completed,70
ORD-1156,CUST-0170,Robert Miller,robert.miller@email.com,PROD-5873,Basketball,Sports,Wilson,86.51,1,86.51,20.0,2024-10-06,7105 Main St,Phoenix,AZ,USA,Bank Transfer,Processing,24
ORD-2109,CUST-0205,Lisa Rodriguez,lisa.rodriguez@email.com,PROD-1204,Face Cream,Beauty,Chanel,29.52,3,88.56,25.0,2024-05-03,7265 Elm St,Chicago,IL,Australia,Apple Pay,Shipped,64
ORD-1712,CUST-0199,Paul Anderson,paul.anderson@email.com,PROD-7188,Data Science Handbook,Books,O'Reilly,21.79,4,87.16,10.0,2024-05-18,4862 Oak Ave,Fort Worth,TX,UK,Debit Card,Processing,19
ORD-1410,CUST-0128,Helen Perez,helen.perez@email.com,PROD-6270,Dress,Clothing,Gap,48.96,1,48.96,,2024-10-07,,Chicago,IL,Canada,PayPal,Shipped,29
ORD-1495,CUST-0166,Anna Thompson,anna.thompson@email.com,PROD-7044,Jeans,Clothing,Nike,165.99,5,829.95,25.0,2023-07-15,5085 Main St,Dallas,TX,USA,Bank Transfer,Pending,68
